run_id,dataset,trans_rmse,rot_rmse
2025-02-28_10-53-19_result_stereo_inertial_oasis_MH01_0_run_1,inertial,1.4004384835887618,24.534432118330788
2025-02-28_10-53-19_result_stereo_inertial_oasis_MH01_0_run_10,inertial,1.1958825665113295,24.553529282533923
2025-02-28_10-53-19_result_stereo_inertial_oasis_MH01_0_run_2,inertial,1.3340624689731906,25.28055528517656
2025-02-28_10-53-19_result_stereo_inertial_oasis_MH01_0_run_3,inertial,1.4138929698394451,23.779226137348942
2025-02-28_10-53-19_result_stereo_inertial_oasis_MH01_0_run_4,inertial,1.5134742985268756,28.41487444227422
2025-02-28_10-53-19_result_stereo_inertial_oasis_MH01_0_run_5,inertial,1.2175214673572576,23.70130203489431
2025-02-28_10-53-19_result_stereo_inertial_oasis_MH01_0_run_6,inertial,1.4487013611453414,24.302626754148637
2025-02-28_10-53-19_result_stereo_inertial_oasis_MH01_0_run_7,inertial,1.2866217235793884,24.960768246477876
2025-02-28_10-53-19_result_stereo_inertial_oasis_MH01_0_run_8,inertial,1.2755328724307666,23.836827096066514
2025-02-28_10-53-19_result_stereo_inertial_oasis_MH01_0_run_9,inertial,1.1937875077722389,23.834905551292884
2025-02-28_10-53-19_result_stereo_inertial_oasis_MH02_0_run_1,inertial,1.2274102673251945,20.602179932037647
2025-02-28_10-53-19_result_stereo_inertial_oasis_MH02_0_run_10,inertial,1.034301615570586,19.553838709800125
2025-02-28_10-53-19_result_stereo_inertial_oasis_MH02_0_run_2,inertial,1.1395114200719865,23.879502866012423
2025-02-28_10-53-19_result_stereo_inertial_oasis_MH02_0_run_3,inertial,1.0324407425622615,21.451316859980494
2025-02-28_10-53-19_result_stereo_inertial_oasis_MH02_0_run_4,inertial,1.069189681934891,19.40499912888349
2025-02-28_10-53-19_result_stereo_inertial_oasis_MH02_0_run_5,inertial,1.0870905502841521,19.528366140360234
2025-02-28_10-53-19_result_stereo_inertial_oasis_MH02_0_run_6,inertial,1.1612740646916275,22.187676923442346
2025-02-28_10-53-19_result_stereo_inertial_oasis_MH02_0_run_7,inertial,1.1932475760296926,21.92806384188864
2025-02-28_10-53-19_result_stereo_inertial_oasis_MH02_0_run_8,inertial,1.123733099824597,23.01840325688768
2025-02-28_10-53-19_result_stereo_inertial_oasis_MH02_0_run_9,inertial,1.1730635660192612,22.552087674396773
2025-02-28_10-53-19_result_stereo_inertial_oasis_MH03_0_run_1,inertial,3.5497140790850112,37.20100377674803
2025-02-28_10-53-19_result_stereo_inertial_oasis_MH03_0_run_10,inertial,2.8926622664073434,31.934312989204397
2025-02-28_10-53-19_result_stereo_inertial_oasis_MH03_0_run_2,inertial,3.163133678524667,38.326765225017596
2025-02-28_10-53-19_result_stereo_inertial_oasis_MH03_0_run_3,inertial,2.953220729796082,37.379144792103425
2025-02-28_10-53-19_result_stereo_inertial_oasis_MH03_0_run_4,inertial,2.8326604460074205,31.830181519930125
