run_id,dataset,rmse,mean,max,std,median,scale_factor
2026-01-31_09-47-10_result_normal_MH01_MaskRandom_run1,f_dataset-MH01_stereo_imu,GT_MH01,0.046034228912876854,0.04234029291941941,0.09770071498565958,0.018067922600589984,0.04822069896421868,1.0085002735863888
2026-01-31_09-47-10_result_normal_MH01_MaskRandom_run10,f_dataset-MH01_stereo_imu,GT_MH01,0.03668095464508308,0.03420281513319416,0.08036554644125767,0.013253673854414358,0.03669071656118478,1.0074739592010429
2026-01-31_09-47-10_result_normal_MH01_MaskRandom_run2,f_dataset-MH01_stereo_imu,GT_MH01,0.04689832251462964,0.04339628191980304,0.09201623992089279,0.017782445563622375,0.05068717145939411,1.0091700527878644
2026-01-31_09-47-10_result_normal_MH01_MaskRandom_run3,f_dataset-MH01_stereo_imu,GT_MH01,0.04493177878784873,0.041189173541883665,0.09618328472483782,0.017953181555834714,0.046588020774231235,1.0084641789307076
2026-01-31_09-47-10_result_normal_MH01_MaskRandom_run4,f_dataset-MH01_stereo_imu,GT_MH01,0.04677836275856454,0.042525493222707975,0.0857985818731194,0.0194883977929761,0.05128785617163523,1.0094678971907545
2026-01-31_09-47-10_result_normal_MH01_MaskRandom_run5,f_dataset-MH01_stereo_imu,GT_MH01,0.0375917785557666,0.03533146830621065,0.08166043258631481,0.012838581008547083,0.03853347210748063,1.0073198467668518
2026-01-31_09-47-10_result_normal_MH01_MaskRandom_run6,f_dataset-MH01_stereo_imu,GT_MH01,0.0425631962120732,0.039417996759399006,0.0786374833076443,0.01605762134512619,0.044461222861602895,1.008651938649042
2026-01-31_09-47-10_result_normal_MH01_MaskRandom_run7,f_dataset-MH01_stereo_imu,GT_MH01,0.0517442286512237,0.04783810751051197,0.11718563407343326,0.019722592844826914,0.05482782807743839,1.0105318190273627
2026-01-31_09-47-10_result_normal_MH01_MaskRandom_run8,f_dataset-MH01_stereo_imu,GT_MH01,0.042068235032413824,0.03848526864593974,0.08749105150391334,0.01698883445066955,0.04291390801315348,1.0077348982053929
2026-01-31_09-47-10_result_normal_MH01_MaskRandom_run9,f_dataset-MH01_stereo_imu,GT_MH01,0.038224207615763416,0.03546214432337091,0.07260358771347042,0.014266266780114494,0.04039009541428895,1.007521087499615
