run_id,dataset,trans_rmse,trans_mean,trans_median,trans_std,trans_max,rot_rmse,rot_mean,rot_median,rot_std,rot_max
kf_dataset-MH01_stereo_imu,MH01,1.5228912143290687,0.9501942508977109,0.4435846069600762,1.1900960197570627,6.8059983311286345,25.897782175871452,14.256012570192166,4.9986556789073635,21.62085167673577,106.97131206514088
kf_dataset-MH01_stereo_imu,MH01,1.504235658994157,1.0805326566199993,0.8048380839659797,1.0465056596919642,5.910199519093134,29.897517188630495,17.679842941863175,6.747813023402225,24.109846278968817,112.23251923726096
kf_dataset-MH01_stereo_imu,MH01,1.4775624371759861,0.9853283360188815,0.6751366465503125,1.1010535073245544,5.344598391390781,32.359816376351,15.64822843295839,5.237334403299698,28.32473588263634,175.85500579067377
kf_dataset-MH01_stereo_imu,MH01,1.3192113928630123,0.875602136953682,0.49065777812046546,0.9867317755204373,5.286576521466484,25.625291880128746,13.781747041754876,4.531185836237802,21.603680992341864,114.89776533105982
kf_dataset-MH01_stereo_imu,MH01,1.4945918077021711,0.9456195224539584,0.5185643388133659,1.1574145283364954,5.141253542981477,28.919895863476594,14.456540695749649,4.482212896619162,25.04733135219129,175.94010987567296
kf_dataset-MH01_stereo_imu,MH01,1.4378956881489142,0.9494409087668376,0.5516199460318683,1.0798638667708265,5.220229052597638,27.024667180082695,14.941930747054911,5.383576974320946,22.518244641722266,110.43108997946007
kf_dataset-MH01_stereo_imu,MH01,1.475414922697074,1.020988472724724,0.6481861114190713,1.0650970531742396,4.44011947985228,32.583772411862036,17.304967261330845,6.123737187264446,27.60870030755321,174.1248124282284
kf_dataset-MH01_stereo_imu,MH01,1.4105723745438552,0.965296366589034,0.5893069007250059,1.0285510918162009,5.135000644139676,26.577874599494194,14.55255331014254,4.040632895333298,22.239752929875326,115.22316078094758
kf_dataset-MH01_stereo_imu,MH01,1.4846008802981192,0.9272690823109964,0.5897715060830017,1.1594014933456285,7.361000595095328,29.294782221260906,14.765446098782116,4.746515174806636,25.301499301327265,171.663005017689
kf_dataset-MH01_stereo_imu,MH01,1.3824001841280984,0.8934994097275544,0.5036284453265201,1.0548407813001508,5.912048014255291,26.487574170284372,14.920998322477432,4.97772516859947,21.88504956555825,114.79430225429165
kf_dataset-MH02_stereo_imu,MH02,1.2419375577954987,0.809766784897759,0.5015847471636292,0.94164040458096,5.581606945528632,23.084990981952924,11.524578904545677,4.24889306583215,20.002522083721054,113.53388441813314
kf_dataset-MH02_stereo_imu,MH02,1.225265338227777,0.7895878008645371,0.40715839050901986,0.9369238249656868,5.628174375888221,25.321730749192284,11.275572836643002,3.9216395522921954,22.67270397063721,153.98623334459154
kf_dataset-MH02_stereo_imu,MH02,1.2522213445041617,0.8222070239295214,0.5479393771613743,0.9444754657654004,5.416198510725027,21.84518752276706,11.79466093069131,5.177094908029224,18.387446571911003,103.7611146678975
kf_dataset-MH02_stereo_imu,MH02,1.2254764535663778,0.7462875971103994,0.4318044685792327,0.9720325923778547,5.401412605820373,23.412616038019856,10.45097994703752,3.524994660033912,20.950599225090535,169.57248637128833
kf_dataset-MH02_stereo_imu,MH02,1.3099853460914206,0.8089736078834981,0.4070761203941706,1.0303510609118696,5.58993093182212,25.00092379730631,11.155818729430793,3.2390882340214753,22.373955823564103,158.23200323592818
kf_dataset-MH02_stereo_imu,MH02,1.2359757987451894,0.8417706474641417,0.5537136359448087,0.9050184264155118,4.98857345335638,21.9397819693049,11.748727632572402,3.738935479721451,18.528934990340545,95.39811263567158
kf_dataset-MH02_stereo_imu,MH02,1.3172842593223635,0.8340528238388263,0.4666335755253267,1.0196046816805755,4.9739588502317345,23.46060380511466,12.021074181921968,3.9670601157216763,20.146803875882885,93.4833380554792
kf_dataset-MH02_stereo_imu,MH02,1.1376861075891476,0.7677994601775846,0.4469086033801192,0.8395318149732954,3.8105940101927414,21.444207638918154,11.232395665234485,4.883659056193899,18.267110578322377,107.66810266334852
kf_dataset-MH02_stereo_imu,MH02,1.2385732719133786,0.8342150611029304,0.5140922374496878,0.9155047688173154,4.100809215981151,23.149240962210797,11.569919831270651,4.133871441631146,20.050543938369067,109.94022485636569
kf_dataset-MH02_stereo_imu,MH02,1.3882120573281638,0.8551834586983785,0.465468683682567,1.0935236477003922,6.613009362287799,23.63922055027497,12.05974658547958,4.6100804209875985,20.33163201807853,108.6510587493322
kf_dataset-MH03_stereo_imu,MH03,3.0013782755909006,1.731303874797366,0.7408861589463225,2.4517052119495597,10.52017154825812,33.78585064932755,19.96184931208199,8.662845952794424,27.25817815152727,155.4256702502269
kf_dataset-MH03_stereo_imu,MH03,3.0776212738760065,1.8893927333869853,0.8951519426166811,2.429392476410231,10.351555136269749,36.653056475153285,22.020896819342617,9.064127787562752,29.30062545821577,152.19061542813614
kf_dataset-MH03_stereo_imu,MH03,2.985090409043523,1.8043639605249115,0.8003552996693134,2.3780318433785705,11.469847934957764,36.700219276370234,21.616528586198747,9.056049620379387,29.658587067082436,160.13597471738413
kf_dataset-MH03_stereo_imu,MH03,2.986716257705778,1.9041022261061455,0.847917232968179,2.3010581732284887,10.356914784527477,36.04858871130084,22.14392553065401,11.703230953692389,28.44551476365607,155.15378469405758
kf_dataset-MH03_stereo_imu,MH03,2.987889137118198,1.8496930016823019,0.7964098720068771,2.346511729192174,10.74865033862124,33.091205402726004,20.329338862130403,10.998563192657503,26.11026343095905,121.18629719484244
kf_dataset-MH03_stereo_imu,MH03,3.1358533009095457,1.8308105464967968,0.7771283876752191,2.5459200041755823,12.676552770241692,36.12845279567581,21.778973134448464,11.089500286780519,28.82605471822926,140.96319764446062
kf_dataset-MH03_stereo_imu,MH03,2.711054046171322,1.6140973732538915,0.7524959804405864,2.178188171604277,10.422861518741119,31.30018940699304,18.21297196269016,7.485117467212005,25.455638063107,150.42240334512286
kf_dataset-MH03_stereo_imu,MH03,3.028939248530341,1.7066783048392997,0.6910297118157915,2.5023433287777284,14.398323368112893,32.056875422639706,19.319588659642868,9.75131673778541,25.58117972034988,167.1341438617352
kf_dataset-MH03_stereo_imu,MH03,3.1960905177433205,1.7647702125431424,0.7039813097279062,2.6646914820536356,14.106627948076412,36.4320771141669,21.394912532408178,10.514125844319256,29.488200361894027,166.3638445197347
kf_dataset-MH03_stereo_imu,MH03,3.162198355251646,1.858930509443593,0.7517000436138562,2.558100036944607,14.060020856519966,36.48700948618217,22.17439824386538,12.43880711429726,28.975816188111207,160.98104285197496
kf_dataset-MH04_stereo_imu,MH04,1.7395126944030659,1.0893192717954008,0.7578373364054123,1.3562035017225664,8.985833124048632,16.133259064078114,10.444909707850782,6.738333190373396,12.295767939559658,70.89954107661767
kf_dataset-MH04_stereo_imu,MH04,1.7883132943500812,1.1638046244451967,0.8173214776406212,1.3578008818929288,8.826248477662272,16.516863696242854,10.665204845441815,5.540888428232588,12.611906753739879,68.54268758547963
kf_dataset-MH04_stereo_imu,MH04,1.8734691400805725,1.2465174060762183,0.7730583088156153,1.3985996479276173,8.61596050078462,17.157412043388046,11.613851831914243,7.313960516140529,12.629142237418156,68.09599119863786
kf_dataset-MH04_stereo_imu,MH04,1.7170603178433699,1.1221120799559219,0.8172486809059643,1.2996771195683066,8.108782003993287,15.705781509699294,10.598884389295415,6.473841982603501,11.590307266537943,66.75695122504457
kf_dataset-MH04_stereo_imu,MH04,1.7637790908431028,1.090250997146076,0.6922300099706794,1.3864593194599357,10.622710501176428,16.1966223515956,10.174735985340812,6.402414878797348,12.60179841248133,79.6458492452074
kf_dataset-MH04_stereo_imu,MH04,1.8209721616733656,1.1478624077988309,0.698427811760644,1.413630611705774,9.908225474835044,16.009199702268642,10.927681219761366,7.6502553006008105,11.69958367919103,73.48281466951921
kf_dataset-MH04_stereo_imu,MH04,1.7876197441796644,1.1477608636044911,0.7246446449668077,1.3704850782693119,8.34326650786628,16.531558141657452,10.89819915319609,6.377473242567116,12.430674551619344,64.84968558836863
kf_dataset-MH04_stereo_imu,MH04,1.6335962217179705,1.0163269310674599,0.7028754276577944,1.2789512050106635,8.020483276957552,14.887074459620244,9.557976905025212,5.836449053097356,11.413591172338444,66.34664578214924
kf_dataset-MH04_stereo_imu,MH04,1.7990086818748905,1.0799272981870414,0.6604363432702487,1.4388152306990873,10.16601321293805,15.4573080801612,10.265562476226423,7.085175357743521,11.556236417264435,78.85983223065904
kf_dataset-MH04_stereo_imu,MH04,1.8536504674534473,1.1961033960910934,0.7546660790145261,1.4161061829360597,9.383511149897249,16.61141137239608,11.176227411200072,7.257693332608147,12.289464131365127,79.15351604252419
kf_dataset-MH05_stereo_imu,MH05,2.1289211058277178,1.2086200628453958,0.5705078493713409,1.7525817009561364,12.815741562188746,23.705735625203634,11.52230447204428,5.188408201094181,20.717104073338945,140.67150022823168
kf_dataset-MH05_stereo_imu,MH05,2.000617308288115,1.2426630700353847,0.6422358578837495,1.5678833211027585,10.141005325887539,23.069189771119007,11.727968697975774,4.718328000062898,19.865605123308026,140.70376499593354
kf_dataset-MH05_stereo_imu,MH05,2.2364093854100737,1.3713254822756271,0.6991102516855001,1.7666333407959283,10.274517379772563,22.263537030915405,12.456679363778514,6.106913876228976,18.45253967222279,93.65839331547424
kf_dataset-MH05_stereo_imu,MH05,2.1803403636039147,1.3362354610638332,0.7262044711017953,1.7228925949565101,10.37117975607651,24.00734582599791,12.587893386528865,4.933190152377647,20.442543718882987,141.23057149691846
kf_dataset-MH05_stereo_imu,MH05,1.9520400443132289,1.2084049518296862,0.6031008973418268,1.533042010838544,9.25030338512857,21.345114478465785,11.625428974028011,5.85980970592806,17.90148913550601,97.80375968178278
kf_dataset-MH05_stereo_imu,MH05,2.342846177078705,1.3042352472501209,0.8473197883795165,1.9462524577460953,14.164996603338961,24.178281664798913,12.22379219956988,5.628764030790366,20.86068571557718,138.35217249495733
kf_dataset-MH05_stereo_imu,MH05,2.2132929407682087,1.4796565685506757,0.899117620673042,1.6459896964438219,7.981504633373114,24.49022881479443,13.372062795041188,5.128958789792983,20.51729134185267,86.07963927960549
kf_dataset-MH05_stereo_imu,MH05,2.2887877699898165,1.3279603880980202,0.6256448198975767,1.8641541416142375,12.897596625185102,24.614644276100126,12.355345476354636,4.780528398457108,21.28910874129943,143.4359642548508
kf_dataset-MH05_stereo_imu,MH05,2.0668688667552524,1.2936228351908015,0.6591666182988927,1.6119822804966106,9.964863148922806,21.574234996649338,12.200301517338065,6.36120540059933,17.793264415971777,99.56333762028915
kf_dataset-MH05_stereo_imu,MH05,2.1330074915195407,1.3493329485981624,0.6651590704261559,1.651975046030015,8.294527845975326,23.455655709349564,12.399467652252717,4.223779551938767,19.91032362108364,100.56985609159416
kf_dataset-V101_stereo_imu,V101,1.4002294659560488,0.9054660156108518,0.47326537254236367,1.0680701530823573,5.074536638518453,51.242656061273976,35.309701816229456,18.080164299083997,37.135357247008955,125.0984769090876
kf_dataset-V101_stereo_imu,V101,1.311146081317051,0.8579062774052144,0.42510056899051807,0.9915144304253904,4.325315722848137,51.47042665686744,33.58164529023977,18.09240510272735,39.00612669620617,157.12294239745918
kf_dataset-V101_stereo_imu,V101,1.2126331544298936,0.7935919643368168,0.4475606388413793,0.9168920118327059,3.9769668797663473,50.48703719888415,32.879954836652026,15.277029496043458,38.31252399752899,175.60314584513387
kf_dataset-V101_stereo_imu,V101,1.398070196375003,0.914359175901116,0.48349193902067933,1.0576140938156375,5.040631428582542,50.44101354871725,36.65165158101027,26.079572001596635,34.654758464114366,140.91945204258693
kf_dataset-V101_stereo_imu,V101,1.2466771790049394,0.8867238313180874,0.5741669681566545,0.8763132063504951,3.8320736024751985,52.52886274246415,35.68233674895485,20.755071697375925,38.54934844002975,169.7173889292933
kf_dataset-V101_stereo_imu,V101,1.310271715959567,0.8202855697061111,0.4185154047685102,1.0217355596119517,4.514624050176476,52.050118109205854,34.68997257480305,16.3956082579219,38.804904302699825,148.60594509409432
kf_dataset-V101_stereo_imu,V101,1.2659236548919532,0.8174436030348565,0.5039392326728169,0.9666171195837537,5.086961007448718,50.71580039344864,32.23371172411698,15.48118624617442,39.15456854614348,172.99618431688788
kf_dataset-V101_stereo_imu,V101,1.2665517081138244,0.8317094604453055,0.42118486557246815,0.9552029118107969,4.895833496664654,50.978518885440906,34.01593410971348,18.521211177545183,37.97006208049818,158.77303253639494
kf_dataset-V101_stereo_imu,V101,1.4319817129565358,0.946130617815217,0.49016953649428996,1.0748992884333537,5.431965696905657,57.30298523806704,39.01530065605656,20.907318319737875,41.96949406308875,179.8490878836713
kf_dataset-V101_stereo_imu,V101,1.3335134276869727,0.8541639424788187,0.3214276800098022,1.0240420016730272,4.90281758738944,52.25612615465534,34.52200743404156,17.608080419041567,39.22924576658636,162.87210022131694
kf_dataset-V102_stereo_imu,V102,1.6054821804134034,0.899626143987367,0.44099252535640576,1.3297540496946785,8.938943596260032,45.665782922211065,32.38754755692581,22.607190025180323,32.19332994808665,149.56449564736758
kf_dataset-V102_stereo_imu,V102,1.5183184205013682,0.9972709512315706,0.46754601522480255,1.1448761836388457,5.373527996742603,50.770964945167194,37.837758076960796,27.551849550428365,33.85254710022252,171.90411984049865
